,Act
62,6.3182
90,7.2556
53,7.0806
46,6.9074
138,5.3001
94,5.8361
162,5.7211
71,6.2198
129,6.2667
198,6.0264
93,5.8572
48,6.1675
51,6.6578
57,6.2563
145,5.3717
166,5.6763
9,6.5931
16,6.6731
135,5.3001
115,7.2556
31,6.0804
128,5.3001
154,5.4147
78,6.4975
92,6.5635
89,6.9581
160,6.4091
159,5.3001
74,6.1472
64,6.8885
180,5.3001
126,5.6776
60,6.2215
91,7.0678
185,6.548
106,6.2558
18,7.2752
121,5.3001
161,5.4784
117,5.8572
177,6.5986
171,5.3001
176,6.9876
12,6.9153
3,7.1425
79,6.8548
184,6.6274
25,6.1844
148,5.9544
134,5.9356
30,6.8365
39,6.5666
131,5.3001
10,6.7242
132,5.3001
188,5.7246
99,6.2452
13,6.4115
47,7.0507
42,5.7507
75,5.7418
109,6.3406
153,5.7001
194,6.8963
0,6.7392
142,5.3001
14,6.3899
82,7.2556
70,6.9399
28,6.7228
123,5.3001
66,6.4344
65,5.7358
102,5.9651
85,7.2556
19,7.3147
169,5.8143
77,6.3971
97,6.3994
143,5.3001
29,6.4549
101,6.3151
116,6.0615
167,6.0264
54,6.0139
35,5.6111
110,6.8465
73,7.5601
36,6.4957
55,6.2369
195,6.3015
21,7.1151
170,5.879
181,5.3001
119,6.3682
80,6.007
190,6.6949
88,7.0614
122,6.4929
178,6.9613
56,6.573
199,5.8588
37,6.5666
193,6.1412
43,6.3182
112,6.0832
7,7.1016
124,5.3001
50,6.0932
183,5.9034
111,6.7094
72,5.7418
146,5.6458
189,7.5749
58,6.8523
105,7.2571
173,6.2425
1,6.1844
81,7.2556
59,6.2295
192,7.0035
182,7.0961
136,6.0912
86,5.9651
103,7.0678
179,6.1594
4,6.9566
5,7.1425
163,5.3001
127,5.3001
6,7.089
34,6.1698
24,6.3338
23,6.8323
67,6.4838
140,5.3001
137,5.3001
107,5.7629
157,6.2787
197,6.7368
45,6.5913
114,6.4835
150,5.6896
63,5.8255
172,6.8892
104,6.1107
2,6.3142
158,5.3001
84,6.3552
168,5.3001
152,6.6993
149,5.9552
83,6.3453
15,6.4316
11,6.3122
26,7.2892
49,7.0652
133,6.4456
155,6.4929
139,5.3001
