,Act
189,6.7761
179,6.0891
71,5.3735
68,5.8638
134,5.878
148,5.878
18,6.108
45,5.641
84,6.6435
72,5.6639
97,5.8748
87,6.4983
46,5.8174
106,6.8135
193,7.0658
21,6.2989
3,7.3099
135,5.878
44,5.3001
160,6.9617
38,6.7582
69,5.7101
128,5.878
136,5.878
32,5.7744
125,5.878
15,6.9096
127,5.878
55,5.6714
196,6.0139
89,5.3001
49,7.657
114,5.594
163,6.0891
43,5.7101
67,6.3031
126,5.878
112,6.0147
162,6.683
108,6.1385
28,6.5945
53,6.0089
96,6.7286
129,5.878
177,6.3985
110,5.3001
168,7.116
122,5.878
26,6.7607
171,6.1276
194,7.048
190,6.1682
7,6.6462
20,7.3008
178,6.7885
142,5.878
192,5.8293
85,5.9126
95,6.2622
29,6.4783
120,5.878
25,6.8335
99,6.0488
103,6.4193
17,6.7063
138,5.878
94,5.9806
156,5.878
5,7.0841
197,6.707
118,5.3001
113,5.3001
82,5.9773
60,5.3001
10,7.0451
100,6.0357
124,5.878
104,5.5451
30,6.5967
164,6.0122
158,5.878
172,7.1052
167,6.0159
130,5.878
157,5.878
61,5.7703
75,7.657
57,5.3001
169,6.7354
65,7.0937
185,6.707
182,6.6973
101,5.9929
2,6.4783
77,6.2608
140,5.878
105,7.1858
54,6.3353
123,5.878
184,6.0084
109,4.6012
150,5.878
1,6.5198
36,7.0948
170,6.8987
187,6.625
80,6.0003
13,6.4354
147,5.878
117,5.8553
64,5.3001
14,7.5591
121,5.878
115,5.7214
59,5.3001
86,5.3001
4,6.8765
27,6.6462
66,5.6714
6,5.9187
186,5.8728
145,5.878
74,5.7703
151,5.878
143,5.878
23,6.5056
154,5.878
139,5.878
83,5.3001
92,5.4547
58,5.3001
131,5.878
141,5.878
90,6.3162
165,7.3213
33,6.9335
132,5.878
63,5.3001
181,6.7023
73,6.8256
88,6.3838
51,5.7211
191,6.168
0,6.4277
174,6.9685
9,6.9335
11,6.1341
173,6.6898
76,5.6724
50,5.3001
70,5.3001
144,5.878
111,6.3162
12,5.6728
24,6.7779
198,7.0203
52,5.3001
183,7.2571
48,5.3001
34,7.0841
