,Act
158,5.3001
15,6.9149
98,5.7789
132,5.3001
182,5.3001
106,5.7789
104,5.7789
4,5.8476
22,7.0456
5,6.3891
115,5.7789
149,5.3001
31,6.7839
139,5.3001
183,5.3001
155,5.3001
117,5.7789
163,5.3001
63,5.3001
26,6.2325
11,6.7237
110,5.7789
176,5.3001
61,5.3001
135,5.3001
43,7.657
66,5.9544
72,5.4118
92,5.7789
131,5.3001
122,5.3001
33,6.4518
142,5.3001
145,5.3001
198,5.3001
192,5.3001
160,5.3001
29,7.0713
178,5.3001
46,5.3001
193,5.3001
181,5.3001
69,5.3001
173,5.3001
107,5.7789
156,5.3001
58,5.3001
185,5.3001
138,5.3001
79,5.4147
28,7.0098
123,5.3001
76,5.3001
10,6.3687
119,5.7789
90,5.7789
188,5.3001
175,5.3001
42,5.6896
94,5.7789
180,5.3001
148,5.3001
1,6.4333
73,6.3206
152,5.3001
54,5.3001
67,5.4118
169,5.3001
86,5.7789
16,6.5503
111,5.7789
154,5.3001
130,5.3001
190,5.3001
143,5.3001
108,5.7789
186,5.3001
164,5.3001
81,5.7789
71,5.9382
70,5.6896
34,6.8132
151,5.3001
20,6.4967
99,5.7789
159,5.3001
40,5.4916
102,5.7789
195,5.3001
97,5.7789
150,5.3001
133,5.3001
3,7.0035
52,5.594
41,6.2435
60,6.0492
105,5.7789
6,6.3309
25,6.3953
96,5.7789
88,5.7789
77,5.7337
18,6.1716
87,5.7789
19,6.5031
93,5.7789
194,5.3001
124,5.3001
184,5.3001
47,5.3001
100,5.7789
177,5.3001
45,5.3001
170,5.3001
64,5.6896
136,5.3001
24,8.0496
37,5.9744
109,5.7789
162,5.3001
129,5.3001
39,6.5993
23,6.7789
49,5.3001
146,5.3001
13,6.1908
101,5.7789
161,5.3001
112,5.7789
91,5.7789
89,5.7789
44,5.3001
7,7.2048
82,5.7789
62,5.8117
179,5.3001
59,5.9544
172,5.3001
12,6.2238
125,5.3001
165,5.3001
187,5.3001
2,5.3001
121,5.3001
147,5.3001
38,6.7855
48,5.9659
168,5.3001
134,5.3001
174,5.3001
120,5.3001
103,5.7789
74,6.4764
17,6.0882
50,5.6714
144,5.3001
27,6.7157
53,5.3001
84,5.7789
36,6.4635
