,Act
22,5.8067
145,5.6307
148,5.3001
189,5.8797
153,6.3252
186,5.8797
100,6.5315
46,6.789
158,7.0791
68,6.8514
98,6.4986
120,6.5906
90,6.8486
49,7.3366
19,6.0402
140,6.0829
134,5.7665
106,6.3257
192,5.8797
74,6.6917
172,5.8797
25,6.3015
188,5.8797
71,7.1012
170,5.8797
63,6.6464
33,6.5537
24,6.444
146,5.6872
150,6.5142
119,5.8361
183,5.8797
11,5.8897
190,5.8797
104,7.5591
35,6.2344
112,7.0471
167,5.8797
121,5.5323
164,5.8797
5,6.4983
107,6.1453
144,5.9447
152,7.0469
29,5.7179
97,7.1541
181,5.8797
45,6.3406
34,6.3838
62,6.6978
13,6.7092
115,7.2024
129,5.3001
116,6.332
44,6.4674
70,7.0787
139,5.594
81,5.9386
110,5.9348
82,7.0329
187,5.8797
147,5.3001
54,6.5678
27,6.6121
91,6.8009
84,6.9269
8,5.742
2,6.7286
38,6.42
133,5.4951
23,6.8425
128,5.8095
126,6.0547
160,5.8797
86,6.2671
171,5.8797
166,5.8797
9,6.2425
21,6.0053
177,5.8797
108,5.9765
199,5.8797
198,5.8797
36,5.3001
51,6.0562
48,6.2248
111,6.7228
76,6.2581
32,5.9635
14,7.7079
56,6.3885
12,5.9501
114,5.9765
127,6.2989
31,6.4625
180,5.8797
58,6.7132
175,5.8797
151,5.3786
30,5.8597
184,5.8797
15,6.4983
122,5.8979
101,6.7842
93,6.6731
80,7.0779
179,5.8797
77,6.3861
42,5.7614
174,5.8797
61,6.4598
102,6.4316
96,6.9621
79,6.3453
53,6.9335
109,7.249
55,6.2993
4,6.1352
73,6.3214
195,5.8797
168,5.8797
16,6.1137
88,7.287
50,6.8589
0,6.2986
193,5.8797
137,5.3001
154,5.8313
41,6.6941
39,6.8953
72,6.7816
143,5.3001
47,7.1589
125,5.3001
185,5.8797
173,5.8797
52,6.6313
69,5.846
118,6.62
131,6.5909
157,6.1385
162,5.8797
94,6.872
7,6.5918
57,7.0539
103,6.9025
66,7.0832
156,6.4764
141,6.7235
136,5.41
59,5.8445
37,6.1149
123,5.8863
165,5.8797
105,7.0416
92,5.9699
130,5.3717
17,6.1943
191,5.8797
169,5.8797
