,Act
80,5.3001
37,5.7246
35,6.5145
192,6.071
145,6.8009
173,6.071
45,5.3001
137,7.1425
91,5.41
151,6.8769
194,6.071
30,6.1768
189,6.071
59,5.3001
186,6.071
119,6.3075
81,6.7496
143,6.9008
93,5.3001
68,6.4793
159,6.62
99,5.3001
175,6.071
103,5.3001
62,5.8464
26,6.4277
123,5.7481
174,6.071
144,7.5749
154,6.603
47,5.9869
156,7.0723
191,6.071
102,5.8638
69,6.5909
124,6.3949
90,5.9311
150,7.0678
199,6.071
61,6.1914
38,6.3115
9,6.4919
190,6.071
42,5.3001
168,6.071
33,6.6718
96,6.0727
179,6.071
166,6.071
185,6.071
108,7.2219
2,7.1167
85,5.3001
13,6.4376
169,6.071
152,7.0028
183,6.071
197,6.071
98,5.6049
113,5.3001
120,6.5277
140,6.6919
51,6.5461
115,5.3001
6,6.8567
84,6.2736
36,6.1353
23,6.3953
87,5.8174
41,5.3001
16,6.3499
184,6.071
74,5.8575
34,6.7839
97,5.6188
193,6.071
20,6.0786
18,5.8128
94,5.9728
142,5.8986
117,5.3001
10,6.3662
112,6.2877
148,5.8728
40,6.3144
131,6.7615
5,6.1318
24,5.9655
56,6.8212
110,5.3001
78,6.1914
178,6.071
64,5.3001
19,6.2838
158,5.9436
0,6.2354
3,5.9311
48,6.4479
53,5.3081
165,6.071
135,5.8938
177,6.071
138,6.9092
111,6.3031
50,6.7491
180,6.071
7,6.0306
176,6.071
88,5.6849
21,6.863
83,5.3001
181,6.071
122,6.0529
77,7.0749
39,6.548
12,6.6791
101,5.9382
153,6.8956
196,6.071
55,5.3001
127,6.6731
109,5.5458
73,5.3001
65,6.4479
15,5.6422
71,5.3001
130,6.0657
114,5.9544
125,7.5601
171,6.071
72,6.6807
79,6.7949
60,6.3252
17,6.3176
170,6.071
44,6.5906
155,6.7885
43,6.5906
14,6.4713
141,7.0319
134,6.3353
57,5.7665
146,6.9617
67,5.677
89,5.3001
32,5.8106
188,6.071
160,6.071
116,5.9041
54,6.1374
28,5.8385
92,5.3001
46,6.5838
139,6.9092
11,6.5145
82,5.3001
129,6.52
195,6.071
121,6.5541
187,6.071
