,Act
121,6.9507
95,7.0539
164,5.303
155,6.6995
143,7.05
187,5.9869
195,6.0126
104,7.3141
45,5.6422
106,7.3099
96,7.0539
193,6.4423
179,5.3001
53,6.7823
6,5.8784
72,6.8425
163,5.3001
12,6.2709
146,5.9716
122,5.9348
82,6.6917
167,6.7974
89,6.5277
11,5.3001
185,5.3001
138,6.5382
182,6.1949
74,6.5425
49,6.4734
83,5.7418
176,5.9699
161,5.8654
16,5.7177
91,6.8056
147,6.2853
116,6.9103
151,5.8731
94,6.3103
135,5.8938
178,5.3001
46,6.6121
57,6.2487
9,5.715
1,6.2736
7,5.9552
86,7.3706
76,6.3308
186,6.0638
100,7.0713
23,6.8762
37,5.3227
181,6.7235
5,5.3001
115,6.5278
26,5.3001
168,5.6391
160,6.8963
13,5.3001
68,6.4971
75,6.4309
133,6.6615
174,5.9248
137,6.2198
35,6.4793
58,6.7481
177,6.3144
110,7.0451
39,5.3001
118,6.5007
197,5.9337
52,5.9773
36,5.9659
17,5.3001
191,5.5158
165,5.3001
113,7.3008
112,6.3103
190,6.4355
171,5.3001
42,6.4129
139,5.9296
0,7.0563
170,6.6962
93,6.7063
87,6.4354
119,6.8765
149,6.1844
125,6.8462
172,5.3001
162,5.9183
117,6.4354
80,6.8056
141,6.6999
71,6.1791
152,6.9272
130,6.4835
24,6.4929
123,6.0035
131,6.2066
40,6.142
175,6.1497
60,7.2072
73,6.0461
4,6.8204
127,5.6811
21,5.3001
85,7.281
136,6.0138
64,6.0786
97,6.6917
54,6.0338
67,6.2016
142,6.9726
156,6.1453
196,5.5897
153,6.7023
10,6.6993
189,5.9647
34,5.3001
114,6.5945
198,6.0638
22,6.5265
126,6.204
144,6.1453
44,6.7805
84,7.0948
62,6.7839
120,6.4484
31,6.1431
43,6.0458
105,6.3103
33,5.3001
192,6.4793
61,6.9718
65,6.6462
66,5.725
124,7.05
111,6.7063
28,6.5063
47,6.4704
157,6.6615
69,6.2054
30,5.8833
63,6.6593
98,6.5007
56,6.3838
103,6.7816
140,6.8068
169,5.3001
51,5.9397
27,6.3379
109,7.0948
15,6.3308
8,5.3001
159,6.7425
32,7.0937
108,7.3706
59,7.0627
132,7.05
19,5.3001
