,Act
181,6.5864
69,6.4635
61,6.195
114,6.8726
23,5.3001
13,6.5986
122,6.7797
134,6.718
49,6.2123
99,5.9348
126,5.6298
135,6.5281
117,6.2149
129,5.8569
33,6.0529
57,6.2123
109,6.285
115,5.3001
125,6.8201
54,6.3807
19,5.8464
139,6.0256
182,7.657
26,6.7141
118,6.1431
66,6.532
38,5.8497
32,5.8575
110,6.3519
192,5.8817
45,6.195
143,6.4241
63,6.3807
153,5.7542
138,6.4274
8,6.5837
175,6.8434
53,6.532
24,5.3001
6,5.9087
178,6.3453
74,6.2123
64,6.195
145,5.7744
177,5.8817
55,6.195
7,6.1914
89,7.2346
165,6.5336
121,6.8892
80,6.7406
111,6.2233
88,7.087
0,7.014
183,6.1661
119,6.7375
22,6.5909
155,6.6255
84,6.3359
166,6.2198
190,5.3001
94,6.8956
191,6.2296
113,6.3682
68,5.9311
108,6.2877
48,6.4635
186,5.878
137,6.2572
169,6.2296
35,5.8157
161,7.2945
81,6.7447
5,5.3459
141,6.0409
65,5.9311
133,5.6401
148,6.8144
112,7.1199
82,6.3899
195,5.9238
27,5.3001
170,5.8603
41,5.9311
51,6.195
43,6.4635
96,7.2371
90,5.751
44,6.532
83,6.2853
152,5.8999
14,6.2354
154,6.7421
60,6.532
9,6.4218
85,6.5437
75,6.195
146,6.142
130,6.4151
150,5.8479
70,6.3807
77,5.9311
76,6.532
180,6.8434
78,6.532
11,7.014
179,5.8817
194,6.3453
172,5.8817
93,6.5409
164,6.2198
86,6.1385
62,6.2123
127,6.3293
16,6.9641
149,6.238
10,6.622
46,5.9311
56,5.9311
156,5.7179
171,5.8938
136,5.831
92,6.0384
102,7.2947
20,6.3532
79,5.9311
144,7.2072
31,6.7974
147,5.6906
157,6.0458
131,6.0147
40,6.3807
196,6.2402
105,5.7337
2,5.3001
1,5.3001
162,5.77
67,6.2123
39,5.3001
91,6.4986
107,6.1268
12,5.3001
168,6.0656
100,7.1805
59,6.2123
197,6.5336
30,6.809
160,6.5665
199,7.2945
158,6.7043
3,5.3001
163,6.1661
124,6.6526
184,6.2066
189,7.5604
21,6.1914
87,7.3366
18,5.9183
173,6.204
37,5.3001
