,Act
170,7.6268
42,6.0776
21,5.3001
176,7.6268
108,6.9272
54,5.3001
189,7.6268
144,5.8157
131,5.8157
9,5.3001
100,5.8616
157,5.8157
5,6.5069
91,6.8465
114,6.205
16,5.7214
96,6.3891
138,5.3001
74,5.3001
120,5.3001
137,5.3001
77,5.3001
127,5.3001
86,6.3308
156,5.8157
95,5.8569
59,5.5323
75,5.3001
26,5.3216
49,7.2219
140,5.8157
198,7.6268
19,6.0344
44,5.3001
45,6.0829
22,6.5838
109,7.2947
124,5.3001
0,5.677
53,5.3001
31,5.9248
7,6.1421
15,6.0344
183,7.6268
122,5.3001
171,7.6268
66,5.3001
89,6.9265
141,5.8157
155,5.8157
190,7.6268
65,6.2877
24,5.9337
162,7.6268
47,5.3001
193,7.6268
186,7.6268
187,7.6268
182,7.6268
196,7.6268
150,5.3001
174,7.6268
180,7.6268
188,7.6268
63,5.556
69,6.7226
106,6.5554
81,6.6999
129,5.8157
78,6.655
41,6.3379
76,5.3001
3,5.3216
50,5.3717
71,6.4456
29,5.3001
178,7.6268
197,7.6268
35,6.7141
48,5.5797
32,6.3379
133,5.3001
199,7.6268
153,5.3001
177,7.6268
192,7.6268
112,6.2422
67,5.3786
121,5.8157
166,7.6268
80,5.8361
13,6.7974
70,5.3001
181,7.6268
158,5.8157
175,7.6268
62,5.6714
149,5.3001
8,5.8575
36,5.8433
85,6.6898
113,5.7415
92,5.6474
152,5.8157
51,6.4793
23,6.8407
168,7.6268
103,6.5606
147,5.3001
60,5.3001
164,7.6268
33,6.8765
61,5.8313
57,5.3001
40,5.3001
115,6.7787
107,6.9534
28,6.4355
94,6.8124
58,5.9382
90,6.1799
136,5.3001
18,6.1218
30,6.8212
134,5.3001
93,5.9478
1,6.1035
169,7.6268
12,5.3001
87,5.9436
159,5.8157
2,6.2989
72,5.3271
11,7.0496
154,5.3001
82,6.9669
132,5.3001
105,6.4637
10,5.9869
99,5.8572
135,5.8157
116,6.721
194,7.6268
119,6.7893
185,7.6268
6,6.7328
104,6.1939
130,5.3001
145,5.8157
163,7.6268
165,7.6268
117,7.1375
126,5.3001
68,5.3001
84,4.6012
110,5.7757
4,6.4218
161,7.6268
20,5.8497
125,5.3001
