,Act
188,6.2853
6,6.8756
83,6.1394
183,6.1474
113,6.4289
26,5.8203
190,6.2369
75,6.5007
184,7.1425
52,6.9103
72,6.5278
150,7.5749
163,6.5315
31,5.9744
122,7.5749
54,7.0948
118,5.6908
111,6.4929
63,6.7232
149,7.5749
35,5.9744
21,5.8203
199,6.0647
69,6.5007
138,6.87
20,6.9566
12,5.8203
51,6.5277
86,7.0627
160,6.3484
49,6.9103
127,7.5749
198,5.7978
137,6.87
119,5.3001
106,6.1226
142,7.5749
14,6.9566
178,6.4598
40,7.0948
74,7.0841
93,5.9667
105,5.3001
108,5.6745
89,5.7849
197,6.6482
168,6.1661
16,5.8203
65,7.0451
36,6.0458
97,5.8999
59,7.0451
147,6.87
33,5.8203
0,5.8203
116,5.7154
170,6.707
102,6.0462
164,6.4888
148,6.87
120,7.5749
155,7.5749
43,6.4823
104,6.6613
165,7.0504
191,6.6747
107,6.444
22,5.9744
3,6.9566
81,5.9544
58,7.0841
7,5.8203
67,6.7063
125,6.87
15,6.0458
144,7.5749
110,6.1307
196,5.9765
80,6.9343
45,6.3449
169,6.3378
157,7.5749
124,7.5749
103,6.4615
176,5.8777
182,6.8508
66,6.73
96,6.3075
8,6.9718
185,6.0085
156,6.87
193,5.829
128,6.87
28,5.9744
189,6.5031
159,6.87
77,6.7607
42,6.8056
129,7.5749
48,6.7816
112,6.4309
55,7.0451
23,6.9718
32,6.9566
2,6.0458
18,5.9744
98,6.1914
92,5.9942
134,6.87
82,6.4452
38,6.0458
141,6.87
161,6.8132
70,7.3099
50,6.7779
186,6.3406
192,6.0792
76,6.8548
139,6.87
167,6.4289
57,6.4354
53,7.281
17,5.9744
27,6.9566
44,6.73
130,6.87
84,5.3001
177,6.9726
126,7.5749
37,5.8203
60,7.0141
85,5.879
24,6.8756
180,6.5382
140,7.5749
171,6.9738
135,6.87
73,6.2839
117,6.0829
34,5.9744
94,5.3001
71,7.3008
91,5.8833
64,7.0141
99,5.879
9,6.9566
146,7.5749
121,7.5749
30,6.0458
153,6.87
194,6.6331
109,5.514
133,6.87
41,7.0451
13,6.9566
123,7.5749
158,6.87
10,6.8756
166,5.7488
181,6.2581
