,Act
198,5.3001
40,6.3225
93,5.933
106,6.8875
76,6.0264
49,6.6791
84,6.9117
14,6.1497
87,6.53
6,6.9641
115,6.683
116,6.8841
132,5.9946
123,6.5909
133,6.8212
20,6.1497
2,6.9641
69,6.2123
82,6.7447
99,7.1199
199,6.6613
46,6.6255
47,6.4777
104,7.1048
130,5.3001
89,6.515
126,6.2325
71,5.8513
17,6.1497
150,5.7214
156,5.8553
13,6.9641
102,6.3935
97,7.0576
118,6.332
165,5.3001
100,6.7352
162,5.8313
141,5.3001
83,6.0159
138,5.3001
192,6.0776
147,5.5158
164,6.1941
63,6.1352
65,6.1226
3,6.9641
142,6.4355
112,6.7855
174,5.4916
134,6.3252
180,5.7552
64,6.2572
58,6.7368
173,5.9041
26,6.9641
186,5.3001
151,5.3001
9,6.1497
161,5.7337
113,6.1734
193,5.3001
158,5.6307
51,5.9315
120,5.9337
61,6.7839
88,6.3816
167,5.6883
19,6.1497
77,6.6296
56,6.6526
185,6.0499
135,6.7328
109,5.9386
94,6.8987
153,5.677
12,6.1497
35,6.1497
70,6.4668
18,6.9641
8,6.1497
34,6.9641
103,6.9096
195,6.4929
4,6.9641
194,5.9126
140,5.3001
183,5.3001
191,5.9844
24,6.1497
145,6.4615
1,6.9641
37,6.1497
169,5.3001
25,6.9641
74,7.0136
48,7.0922
148,5.3001
10,6.9641
80,7.0507
187,5.7698
177,5.9552
45,6.7026
52,6.4777
57,5.8562
179,6.5665
155,6.613
170,5.3001
196,5.3001
182,6.0912
171,7.0469
22,6.9641
146,6.7974
54,6.0496
31,6.9641
96,6.3899
124,5.5897
27,6.1497
114,6.8688
152,6.7328
79,6.5375
59,5.7179
197,5.7001
28,6.9641
139,6.8785
11,6.9641
50,7.141
129,6.3987
42,6.6841
81,6.44
91,6.1472
43,6.4367
105,6.3985
154,5.3001
72,6.2153
90,6.5635
38,6.1497
168,5.3001
0,6.9641
95,7.004
68,7.2072
23,6.1497
92,6.8688
41,6.4374
188,5.9126
143,6.6807
144,7.014
39,6.9641
157,5.8553
117,6.3985
15,6.9641
111,6.0174
125,5.4714
190,5.3001
127,6.3953
163,5.514
62,6.6623
78,6.1331
29,6.1497
160,6.0181
