,Act
20,6.9825
18,7.4557
79,5.3001
195,5.9219
47,5.3001
192,6.0529
24,6.7237
37,6.2167
188,6.4735
90,5.6872
76,5.8313
116,5.6872
169,5.8157
61,5.3001
36,6.9621
97,5.6872
157,6.0181
162,5.8464
88,5.6872
198,6.6807
142,6.5807
75,5.3662
135,6.2923
35,6.358
23,7.0416
57,5.3001
199,6.2325
89,5.6872
45,5.3662
101,5.6872
190,6.1497
103,5.6872
124,5.3001
178,5.3216
95,5.6872
189,6.4793
104,5.6872
65,5.3001
138,5.914
133,5.7552
19,7.1012
167,6.5512
196,6.2325
72,5.3001
51,5.3662
33,7.05
55,5.3001
6,6.6328
5,6.8335
140,6.3068
148,5.7537
56,5.3662
1,6.9581
58,5.3662
42,5.8313
12,6.6437
78,5.3662
14,7.0491
179,5.3001
100,5.6872
114,5.6872
136,5.9382
143,5.6292
156,5.402
129,6.5145
39,7.2571
122,5.9397
185,5.3001
110,5.6872
27,7.1077
10,6.3316
83,5.6872
107,5.6872
70,5.8313
183,5.3001
74,5.3001
102,5.6872
113,5.6872
93,5.6872
164,5.3001
17,6.9771
11,6.1396
144,5.3001
121,7.7079
149,6.761
191,5.3001
62,5.8313
46,5.3001
120,7.2072
69,5.3001
173,6.7491
9,6.2951
98,5.6872
81,5.6872
48,5.3662
13,6.4888
106,5.6872
147,5.9311
3,6.7288
31,6.5486
41,5.3662
175,5.9219
4,6.5601
118,5.6872
115,5.6872
174,6.5838
168,5.3001
80,5.6872
15,6.8536
123,5.6035
158,6.2616
186,6.0529
34,7.0491
139,5.8863
184,5.7665
86,5.6872
194,7.0749
77,5.8313
151,7.6886
22,7.287
126,5.3001
108,5.6872
152,5.4147
117,5.6872
125,6.3115
8,7.0028
71,5.3001
180,5.3001
43,5.3001
73,5.3001
171,6.8407
145,6.5926
92,5.6872
30,6.4559
112,5.6872
141,5.9187
111,5.6872
53,5.3662
170,5.3001
60,5.3001
182,6.4706
50,5.3001
134,6.0801
87,5.6872
132,7.2072
54,5.3662
96,5.6872
137,6.2344
153,6.3492
91,5.6872
163,6.6462
29,6.7503
172,6.3214
7,6.7545
0,7.0416
197,5.9819
176,6.8775
40,5.8313
159,5.8513
44,5.3001
