,Act
144,5.6307
57,6.5972
152,5.9248
161,7.1761
168,7.1236
38,6.0781
187,5.3786
75,7.1326
188,6.2215
182,7.2261
61,6.5678
130,5.9819
7,6.0781
69,7.4632
172,5.8174
4,6.0781
167,7.3592
195,6.1268
94,6.0147
126,6.7947
114,5.7177
74,6.3433
125,6.7235
51,6.4724
132,5.3001
34,6.0781
115,6.7805
73,6.7404
70,7.4012
155,7.014
72,6.52
106,5.9929
47,6.0647
55,6.7761
123,5.5158
64,6.1472
135,6.6949
146,6.6962
0,6.0781
113,6.1696
163,6.0962
122,7.0439
101,6.1274
20,6.0781
91,5.7564
56,5.7614
40,7.1012
84,5.7849
22,6.0781
110,6.0692
23,6.0781
190,7.657
107,6.6858
17,6.0781
191,6.9838
67,6.47
68,6.6737
83,5.9187
119,5.9798
100,6.7874
175,7.1881
41,6.642
21,6.0781
96,6.5807
26,6.0781
88,6.1111
147,5.3001
157,6.5461
174,6.4289
145,6.7947
14,6.0781
45,6.8875
173,6.2215
162,6.9025
120,5.3001
194,6.6932
13,6.0781
159,5.8272
58,6.2486
16,6.0781
71,6.3736
53,6.1908
30,6.0781
158,7.0749
10,6.0781
9,6.0781
189,6.7447
104,6.6414
186,5.8174
166,6.1578
105,7.0627
49,6.3214
137,5.8979
99,5.3001
139,5.8464
12,6.0781
199,6.0962
77,7.05
121,5.9183
111,5.3001
1,6.0781
116,6.6288
185,6.8166
90,5.8833
15,6.0781
138,6.4793
133,6.2354
136,6.4218
118,7.6268
50,6.519
156,6.7947
6,6.0781
128,5.5158
170,5.3001
193,7.3592
153,7.0791
89,5.9647
5,6.0781
117,5.3001
59,6.8987
85,5.7179
35,6.0781
79,6.6922
197,6.4549
154,5.3001
46,6.8338
60,6.5275
176,6.2709
143,5.9699
8,6.0781
142,5.3001
151,6.6231
86,5.3001
54,6.3968
81,6.15
36,6.0781
39,6.0781
124,5.3001
141,6.5069
66,6.204
160,5.7145
87,5.9695
198,6.8508
33,6.0781
165,5.3001
183,6.8465
29,6.0781
192,5.9311
3,6.0781
109,5.8513
31,6.0781
97,5.6745
18,6.0781
177,6.62
102,5.7246
80,5.3227
63,6.7508
24,6.0781
178,7.0779
65,6.8144
