,Act
16,5.3001
185,6.7709
180,6.7709
119,6.071
157,5.3001
98,6.1035
62,5.6474
21,6.0673
36,6.2435
178,6.7709
26,5.9447
45,6.0786
115,5.8464
38,5.445
66,6.3916
169,6.7709
77,6.3861
91,6.7903
27,5.3001
42,6.5812
55,6.6486
134,6.1497
64,7.2346
124,5.3001
129,5.6655
152,5.7505
196,6.7709
166,6.7709
103,5.8464
126,6.5838
188,6.7709
158,5.5003
116,6.0529
135,5.9699
48,7.0451
74,5.723
82,6.2089
168,6.7709
109,6.7903
50,6.6764
155,5.677
100,6.4479
189,6.7709
6,6.2529
79,5.8089
99,6.2089
192,6.7709
163,6.7709
69,6.5573
28,5.3001
121,5.3001
114,5.9337
12,5.9981
107,5.9087
0,5.9126
197,6.7709
153,5.3001
72,5.9263
143,6.4423
146,6.4423
162,6.7709
194,6.7709
84,5.6139
71,7.0456
24,5.7141
35,5.3001
3,5.3001
175,6.7709
159,6.5512
199,6.7709
85,6.2089
11,5.4951
56,5.34
161,6.7709
63,6.3641
181,6.7709
30,5.5323
57,5.6386
33,5.3089
40,6.4713
113,5.8464
46,7.3598
53,7.0605
19,6.0492
122,5.5003
118,5.6139
2,5.9356
102,6.071
108,6.071
183,6.7709
10,5.6035
43,5.6728
97,5.8464
195,6.7709
174,6.7709
65,5.8761
198,6.7709
78,6.0627
191,6.7709
51,7.004
132,6.3953
93,5.9087
164,6.7709
88,5.9087
140,5.8497
31,5.3001
89,6.0529
136,5.3001
148,5.3001
125,5.9219
142,5.9869
15,5.3001
111,5.8464
4,5.3001
68,6.0962
47,5.9296
156,6.4355
144,5.5897
177,6.7709
61,6.4129
92,5.6139
145,5.888
20,6.7226
37,5.6714
70,6.3492
1,5.3001
167,6.7709
86,5.8654
80,5.6139
106,6.7903
137,5.3001
94,5.6139
149,6.9192
193,6.7709
187,6.7709
9,5.4587
171,6.7709
96,5.9183
130,6.7328
5,5.3001
147,5.9647
104,5.7214
29,5.7054
117,5.8654
151,5.5897
138,6.6435
8,5.3001
58,6.8323
186,6.7709
73,6.4027
17,6.7226
110,5.6139
34,5.3001
182,6.7709
160,6.7709
22,6.0776
54,7.1027
60,6.5913
127,5.3001
120,5.3001
