,Act
22,6.3122
9,6.3122
15,6.3122
199,5.3001
85,6.6231
97,6.2699
48,5.7927
111,5.3001
160,5.3001
193,5.3001
10,6.3122
157,5.4109
39,6.3122
31,6.3122
155,6.6826
23,6.3122
124,5.6807
28,6.3122
169,5.3001
62,6.5945
143,6.5926
74,6.7797
90,6.8775
134,6.4713
184,5.3001
42,5.7488
164,5.3001
159,6.135
71,6.3449
190,5.3001
176,5.3001
195,5.3001
137,5.9773
76,6.0899
103,6.9641
94,6.5837
93,5.9087
35,6.3122
82,6.8785
64,7.2048
131,6.1067
165,5.3001
104,6.6949
183,5.3001
120,5.6714
146,6.5469
188,5.3001
8,6.3122
11,6.3122
122,5.3001
26,6.3122
196,5.3001
18,6.3122
173,5.3001
89,6.3953
154,6.0637
112,5.3001
61,6.9036
150,6.2709
177,5.3001
197,5.3001
65,6.8943
132,7.0469
178,5.3001
46,6.3031
59,6.4965
16,6.3122
181,5.3001
95,5.3001
3,6.3122
158,6.1696
110,6.0529
135,6.5104
78,7.0916
24,6.3122
86,6.802
140,5.3001
136,5.8569
44,7.1414
12,6.3122
152,7.1858
115,5.6391
19,6.3122
139,5.9447
107,5.8497
192,5.3001
25,6.3122
161,5.3001
47,7.049
98,6.1421
84,6.2699
68,6.9629
49,5.9348
189,5.3001
121,6.4084
179,5.3001
175,5.3001
4,6.3122
38,6.3122
148,6.4734
2,6.3122
81,5.8497
30,6.3122
32,6.3122
36,6.3122
144,6.7797
50,6.6246
45,7.1012
52,6.6556
108,5.9869
123,6.363
100,6.4063
126,5.3001
198,5.3001
34,6.3122
41,6.4838
77,6.4337
172,5.3001
129,5.4547
127,5.6883
0,6.3122
33,6.3122
92,6.9192
70,6.3406
63,6.7404
29,6.3122
43,6.2589
119,5.3001
67,7.002
180,5.3001
114,5.677
102,5.7214
53,6.9103
54,6.204
20,6.3122
58,5.933
105,6.7235
145,6.1137
142,6.0706
91,6.1914
57,6.4484
185,5.3001
56,6.8184
125,6.1943
21,6.3122
167,5.3001
60,6.5521
96,5.9699
191,5.3001
186,5.3001
187,5.3001
113,6.622
170,5.3001
116,6.9641
99,7.014
7,6.3122
80,5.7398
40,5.6111
149,5.7101
153,6.08
