,Act
128,5.8553
140,5.7398
37,6.2519
86,5.3227
110,6.4734
41,7.0832
93,5.3001
118,6.2636
38,6.2519
196,6.1939
81,6.3418
168,6.4309
138,5.7214
162,6.1939
16,6.2519
164,6.4309
76,7.0916
127,5.9219
171,6.4309
177,6.4309
49,6.659
194,6.4309
70,6.0035
57,7.3706
102,6.1643
135,5.3001
120,5.3081
14,6.2519
172,6.1939
105,5.3001
53,6.3719
158,5.9699
113,6.2819
150,6.4063
100,5.3001
101,7.0833
97,5.4763
58,6.0899
22,6.2519
21,6.2519
125,6.1914
17,6.2519
109,6.1353
31,6.2519
106,7.0456
42,6.6331
26,6.2519
136,6.2699
85,6.4836
198,6.1939
6,6.2519
180,6.4309
143,5.3001
4,6.2519
159,6.5906
72,6.8822
9,6.2519
175,6.4309
152,6.8374
111,5.3001
40,7.1077
45,6.2581
78,6.9265
43,6.5795
65,6.3552
89,5.6307
148,5.9819
195,6.4309
139,5.3001
29,6.2519
15,6.2519
149,5.3758
184,6.1939
92,6.5807
2,6.2519
161,6.1939
55,5.989
91,5.3001
7,6.2519
3,6.2519
0,6.2519
94,6.42
82,7.0563
61,6.0748
24,6.2519
185,6.1939
192,6.4309
163,6.4309
137,6.2699
187,6.4309
54,6.8268
146,5.9819
151,5.8553
83,6.0679
117,6.1274
96,6.1127
169,6.1939
80,6.0547
13,6.2519
193,6.1939
166,6.4309
11,6.2519
131,6.613
181,6.1939
124,5.3001
62,6.9621
134,5.5158
145,6.0638
51,6.3032
56,7.0451
5,6.2519
67,7.0881
66,6.0305
8,6.2519
174,6.4309
46,6.9457
132,6.3144
23,6.2519
165,6.1939
35,6.2519
116,7.7079
119,6.8048
199,6.1939
107,6.4376
147,7.0439
88,6.4091
48,6.0656
108,7.0035
182,6.4309
155,6.1218
170,6.4309
47,6.689
156,6.1914
84,6.6141
183,6.4309
39,6.2519
167,6.1939
27,6.2519
28,6.2519
59,6.9771
176,6.1939
190,6.1939
68,6.5945
114,6.4156
77,6.9103
197,6.4309
122,6.1421
73,6.4815
34,6.2519
153,6.2946
123,6.2989
19,6.2519
36,6.2519
32,6.2519
121,6.1497
60,6.5795
79,6.1944
126,5.303
52,7.0319
99,5.5526
