,Act
148,5.8497
135,5.8497
70,6.0036
49,6.1053
5,6.3918
137,5.8497
198,5.6607
123,5.8497
38,6.5993
130,5.8497
10,6.3664
190,6.7737
57,6.3014
56,7.1215
170,6.718
78,6.2486
101,6.4764
197,6.1331
88,5.3001
35,6.0615
191,6.3115
21,6.6328
115,5.3001
25,7.0878
146,5.8497
120,5.8497
150,5.8497
24,6.6932
26,7.2556
60,6.8665
119,6.9641
34,6.5952
105,5.514
169,7.0367
15,6.7761
162,4.9991
139,5.8497
106,5.3001
129,5.8497
4,6.0615
193,6.7286
125,5.8497
12,6.3664
76,6.0467
28,6.4733
19,6.8166
13,6.3519
183,6.0851
187,5.7905
46,7.3366
179,6.3176
141,5.8497
182,6.1217
33,6.3552
53,6.6168
154,5.8497
22,6.3918
85,6.0488
108,5.6035
80,5.677
30,6.659
136,5.8497
27,6.3406
149,5.8497
147,5.8497
128,5.8497
90,6.8212
65,6.297
156,5.8497
92,5.7225
2,6.7304
14,6.007
81,6.0492
51,7.2892
188,5.8464
122,5.8497
196,6.5438
18,6.3519
47,6.5426
116,6.655
66,5.9993
181,5.6298
79,6.3807
55,7.0375
143,5.8497
48,7.1805
86,6.0529
145,5.8497
23,6.3664
45,6.1682
195,6.2838
31,6.3406
63,6.3224
111,5.8117
171,6.4084
71,6.205
8,6.3664
54,6.4416
159,5.8497
167,6.7481
29,6.7304
37,6.5993
61,6.3896
173,6.4983
16,5.7817
112,5.3001
99,5.3001
140,5.8497
102,5.7101
189,5.7085
142,5.8497
1,6.659
50,6.4957
40,6.2271
68,6.3735
83,5.3001
151,5.8497
160,6.8279
133,5.8497
109,5.3001
62,5.7481
157,5.8497
131,5.8497
87,5.4547
98,5.4547
168,6.5402
100,5.7214
174,6.2354
110,5.8748
158,5.8497
121,5.8497
20,6.3519
64,6.7572
172,6.0003
72,6.7508
118,5.3001
67,6.9096
91,5.6382
177,6.1812
42,6.4918
93,5.3001
32,6.3406
82,6.3075
199,5.6292
36,6.3664
75,6.0828
96,5.8516
84,5.9981
185,6.392
77,6.8956
166,5.8999
164,6.3176
132,5.8497
103,6.1643
192,5.942
126,5.8497
184,6.3176
194,7.5788
41,6.6772
94,6.8963
