,Act
6,5.3001
130,7.0619
1,5.3001
79,6.2576
132,6.5906
47,5.8272
192,5.6872
49,5.5897
36,5.3001
109,6.7622
149,6.1067
146,6.2308
26,5.3001
139,5.9667
174,5.6872
12,5.3001
76,6.613
44,6.9641
134,6.2035
45,5.8979
24,5.3001
29,5.3001
56,5.3001
95,6.4479
20,5.3001
110,7.5715
160,5.6872
151,5.9544
73,5.5158
52,5.3001
125,6.0666
43,6.8765
178,5.6872
108,5.8361
176,5.6872
196,5.6872
107,6.3316
150,6.2819
8,5.3001
101,6.3286
63,6.5512
0,5.3001
92,5.7629
72,5.9337
77,5.3459
69,6.5906
154,6.5437
115,7.6457
19,5.3001
106,7.192
16,5.3001
167,5.6872
17,5.3001
61,6.8785
155,6.5425
120,6.3068
54,6.5838
169,5.6872
172,5.6872
96,6.9743
117,6.1958
183,5.6872
143,6.4824
182,5.6872
159,6.4376
55,5.3001
171,5.6872
50,6.0344
165,5.6872
30,5.3001
91,6.7508
2,5.3001
28,5.3001
141,6.5906
111,6.3987
119,7.1016
185,5.6872
5,5.3001
184,5.6872
85,5.8938
98,6.6026
136,6.718
70,5.3001
199,5.6872
100,6.8956
14,5.3001
126,5.9716
9,5.3001
142,6.4151
147,6.7805
80,6.6181
164,5.6872
173,5.6872
138,6.2608
66,5.9497
140,6.4129
113,6.6615
25,5.3001
38,5.3001
198,5.6872
71,5.8157
67,6.3379
181,5.6872
68,5.9869
177,5.6872
87,6.5741
103,6.195
59,6.4423
7,5.3001
124,6.9884
4,5.3001
90,6.3519
116,7.0924
23,5.3001
133,6.3309
131,6.135
32,5.3001
11,5.3001
102,6.6917
46,5.6655
21,5.3001
193,5.6872
197,5.6872
187,5.6872
51,6.4355
13,5.3001
39,5.3001
158,5.9256
163,5.6872
86,6.5606
129,5.8588
57,5.9497
190,5.6872
168,5.6872
104,6.8428
53,6.4218
97,7.1876
15,5.3001
148,5.9034
162,5.6872
195,5.6872
33,5.3001
118,6.5336
153,5.742
58,6.4615
41,5.4784
60,5.3001
81,6.0467
114,6.4289
170,5.6872
161,5.6872
128,6.1149
152,6.2594
105,6.7101
22,5.3001
157,5.3001
84,6.3735
78,6.1218
121,4.9991
189,5.6872
