,Act
37,6.5556
13,6.5556
188,5.3001
5,6.5556
107,5.3758
147,5.3001
109,6.6962
86,5.9248
74,5.86
159,5.514
181,6.3078
102,5.9497
26,6.5556
116,6.5837
164,6.4097
50,6.7406
176,5.6714
95,6.802
80,7.014
82,5.6307
98,5.3001
49,6.9265
15,6.5556
21,6.5556
16,6.5556
27,6.5556
111,7.014
115,5.3001
160,5.3001
114,6.3953
112,6.7141
140,6.1663
99,6.3162
38,6.5556
139,6.6654
62,5.8473
6,6.5556
35,6.5556
106,5.3216
130,5.7027
122,5.9695
143,6.106
39,6.5556
67,6.0703
29,6.5556
197,5.3735
161,5.3001
70,6.9392
33,6.5556
133,6.0306
75,5.6661
148,6.6799
185,6.2608
195,5.3001
0,6.5556
66,6.4056
127,6.5265
77,7.3213
79,6.4045
61,6.2198
100,6.7974
36,6.5556
97,5.3001
149,6.3355
63,5.8476
71,6.9838
56,6.7787
137,6.1149
186,5.3001
91,6.0344
156,6.8762
85,5.7214
128,5.8516
104,6.3252
144,7.1721
3,6.5556
138,4.6012
179,7.3119
174,6.3031
55,6.5382
83,5.9819
14,6.5556
59,7.3431
1,6.5556
191,6.4764
152,6.6139
199,5.7211
44,6.4888
177,5.3001
94,6.7141
65,6.4484
28,6.5556
23,6.5556
141,6.6526
40,7.1661
92,6.5361
178,5.3001
30,6.5556
123,5.3001
175,6.0673
126,5.3001
18,6.5556
192,5.3001
131,6.4793
165,5.3735
90,6.4615
17,6.5556
88,7.0496
110,5.3216
189,7.657
87,6.7903
7,6.5556
4,6.5556
31,6.5556
52,5.9993
25,6.5556
108,5.8497
171,5.7145
120,5.3001
150,6.2662
198,5.6724
69,6.789
145,6.8279
78,6.0139
151,5.715
134,5.8143
58,7.081
182,5.3001
54,6.0467
9,6.5556
121,6.1353
135,5.3001
190,5.4501
170,5.7211
155,6.6288
146,6.0003
73,6.3949
19,6.5556
103,5.3001
42,6.4671
129,5.7916
183,5.3786
60,6.4888
46,7.2024
163,6.0673
169,5.3001
81,6.4063
64,6.6244
180,5.3001
96,6.8765
68,6.6107
105,6.3987
45,7.2947
172,6.1268
11,6.5556
158,5.7177
167,6.2608
43,6.3469
196,6.3353
2,6.5556
