,Act
67,6.6268
20,7.0878
174,6.7903
185,6.1035
154,6.0181
53,6.3492
128,5.3001
150,5.6049
137,6.4929
132,5.3735
115,6.4724
165,5.3001
144,5.3001
190,5.6655
114,6.7023
88,6.8009
11,6.809
184,5.3001
180,5.3001
44,5.777
45,7.0035
52,6.7615
157,5.3001
110,6.5665
54,7.0074
139,5.7225
62,6.081
30,6.168
31,6.7194
173,6.1218
169,6.613
104,6.6791
29,6.2581
118,6.5278
39,6.4559
136,5.445
100,6.4289
68,6.9343
138,6.1578
78,5.9311
10,7.1765
105,6.8338
55,6.3176
89,7.001
111,6.8124
81,7.1805
188,6.3953
177,6.3379
48,6.5104
134,5.3001
70,5.7069
162,6.9641
92,6.0256
13,7.1589
170,5.9806
166,5.3001
65,6.9997
179,6.7491
63,5.3001
149,5.4109
66,6.108
94,6.204
156,6.0089
25,6.8759
124,5.3786
57,6.0666
98,6.5913
120,5.9126
151,6.0921
103,6.7779
127,5.3001
171,5.3001
17,6.3719
126,5.3001
102,6.9092
113,7.0032
143,5.3001
72,6.4027
60,6.0666
107,6.6188
167,5.3001
0,6.6941
14,6.8633
125,6.1431
40,6.2456
155,6.1268
176,6.2089
64,6.6288
69,6.285
101,7.0723
84,6.6026
96,7.0723
77,6.1791
189,5.8979
168,5.9647
194,6.6962
7,6.7026
112,6.1524
130,5.3001
59,6.3456
24,6.6482
1,6.4967
93,6.2036
175,6.622
183,5.6956
42,6.4129
164,6.5512
49,7.4235
148,5.3001
34,6.3449
182,6.2946
36,6.9265
80,5.7365
133,5.556
85,6.9078
6,7.2376
50,6.5145
119,6.8514
159,6.0673
32,6.9738
86,5.8566
142,6.2035
122,6.3379
43,6.4734
195,6.3987
3,6.7758
109,6.8919
90,6.4598
74,6.7735
192,5.4784
33,6.8268
2,6.872
196,5.9819
160,5.3001
5,7.1048
58,5.8986
12,7.1541
4,7.1765
27,7.2261
123,5.3001
21,7.1842
121,5.3001
56,6.761
161,6.0344
158,6.0089
51,6.3828
117,6.2983
97,6.8536
186,5.303
18,6.4558
9,7.0329
47,6.4734
163,6.9641
28,6.2215
146,5.6776
181,6.7947
23,7.1842
95,6.52
35,5.7778
141,5.5323
