,Act
110,6.5986
37,6.3893
130,5.9819
7,6.108
113,5.3001
126,5.9699
119,5.3001
115,5.5897
62,6.6515
58,6.6515
196,5.8979
75,6.6515
173,5.8979
76,6.6515
174,5.8979
128,6.8407
149,5.6655
118,5.9219
69,6.6515
185,5.8979
156,6.6807
20,6.0962
135,6.4063
106,5.3001
183,5.8979
147,6.6435
30,6.1037
80,5.9869
14,5.725
176,5.8979
107,6.5986
152,6.7709
54,6.6515
193,5.8979
134,5.888
102,5.8272
72,6.6515
28,7.1326
161,5.8979
6,7.3384
34,7.0678
4,6.3351
97,5.3001
31,5.9382
137,7.0791
154,6.7328
60,6.6515
100,5.9869
190,5.8979
39,6.2877
175,5.8979
19,5.6688
77,6.6515
164,5.8979
91,6.1218
71,6.6515
74,6.6515
150,6.3214
140,7.0791
32,5.9659
181,5.8979
103,5.3001
122,5.3001
188,5.8979
44,6.6515
38,5.8569
162,5.8979
141,6.5512
1,6.8665
12,6.7582
63,6.6515
112,5.6391
179,5.8979
85,5.6391
120,6.7947
95,5.9869
157,5.3001
160,5.8979
132,5.7505
184,5.8979
194,5.8979
65,6.6515
114,5.5158
90,5.6391
111,6.0344
53,6.6515
169,5.8979
67,6.6515
129,6.8775
45,6.6515
57,6.6515
81,5.3001
73,6.6515
25,6.5056
51,6.6515
2,6.373
136,6.4793
146,6.071
22,5.7225
191,5.8979
79,6.6515
125,6.0638
89,5.3001
93,6.5986
24,6.0724
123,5.3001
15,6.1975
121,5.9087
127,5.3001
18,6.4967
171,5.8979
83,6.0344
59,6.6515
177,5.8979
40,6.6515
16,6.3224
92,5.9219
94,5.3001
29,5.7337
86,5.3001
195,5.8979
10,6.0496
55,6.6515
145,6.9641
182,5.8979
0,6.1827
5,6.7135
187,5.8979
88,5.5158
35,7.0713
178,5.8979
70,6.6515
117,6.0344
167,5.8979
49,6.6515
153,5.3459
116,5.6391
170,5.8979
11,6.0027
21,7.1876
168,5.8979
9,5.9798
13,5.989
104,5.3001
199,5.8979
64,6.6515
43,6.6515
50,6.6515
172,5.8979
142,6.4706
96,5.5158
41,6.6515
197,5.8979
124,6.3162
47,6.6515
48,6.6515
131,5.3001
87,5.3001
155,7.0496
139,7.014
