,Act
162,6.9192
155,6.9621
198,6.7356
165,6.5837
190,5.9497
97,5.3001
87,5.3001
116,5.3001
88,5.3001
166,6.4735
73,6.1492
108,5.3001
191,7.014
170,5.8553
32,5.7398
179,6.6435
126,6.4965
85,5.3001
140,5.7358
63,7.3491
135,6.1472
146,6.9438
35,5.3001
56,6.1268
130,6.4316
76,5.9552
143,6.4674
115,5.3001
10,5.3001
71,5.9667
9,5.3081
1,6.0126
105,5.3001
69,6.2456
82,5.3001
189,5.7665
153,6.3994
25,5.9699
43,6.5438
26,5.677
124,6.0347
167,6.8963
194,6.7949
177,5.8553
84,5.3001
154,6.3014
41,5.3001
100,5.3001
129,6.7787
121,6.5056
93,5.3001
58,5.3001
178,6.7328
20,5.3001
193,5.9497
2,6.5361
37,5.677
65,5.3001
0,5.3081
30,6.7235
137,6.5678
101,5.3001
18,6.4423
95,5.3001
33,7.0439
39,5.3001
13,5.7505
114,5.3001
92,5.3001
144,7.4632
11,5.677
53,5.3001
83,5.3001
161,5.3001
14,6.7235
68,6.6121
110,5.3001
57,7.4853
52,6.3068
24,6.0126
136,6.52
172,6.0529
27,5.7398
134,6.7508
75,5.879
74,6.3595
8,5.3001
120,6.7404
49,7.2342
4,6.5142
99,5.3001
183,5.3001
181,6.2946
186,6.0529
78,6.0692
148,6.3338
127,6.9103
96,5.3001
180,6.5837
6,7.0439
21,6.5906
54,5.3001
86,5.3001
164,6.7328
125,6.2993
55,6.2037
118,5.3001
31,6.5461
176,6.4735
112,5.3001
29,6.3252
51,5.7332
156,6.7101
182,6.6962
38,6.7235
133,7.1541
185,6.0638
145,6.2581
163,5.8272
113,5.3001
128,6.2207
199,6.1949
174,5.5897
138,6.0615
123,6.9507
59,6.9997
23,5.3001
67,6.3176
89,5.3001
12,6.5512
3,5.677
152,6.6793
147,6.9698
159,6.8434
168,6.7974
80,5.3001
150,6.3851
196,6.4706
139,7.1589
44,6.1148
91,5.3001
119,5.3001
79,5.3001
46,5.8513
17,7.0439
175,6.4063
94,5.3001
50,6.4129
70,6.0836
15,6.0126
106,5.3001
66,5.3001
60,6.2435
141,7.0028
42,6.4333
188,5.7665
45,5.8464
160,5.9337
111,5.3001
104,5.3001
